time, q_w, q_x, q_y, q_z, p_x, p_y, p_z
1403636645063555584,0.56355,-0.0191262,-0.825728,-0.0147948,-7.12665,4.58103,0.171476
1403636645863555584,0.55367,-0.0218918,-0.832287,-0.0163704,-7.62533,4.89453,0.0783476
1403636646313555456,0.577085,-0.0867364,-0.811309,-0.0350291,-8.08067,5.13333,0.133506
1403636647013555456,0.576623,-0.154994,-0.794839,-0.108232,-8.48766,5.46091,0.266136
1403636648263555584,0.568262,-0.22045,-0.77853,-0.14957,-8.92256,6.12456,0.315564
1403636648813555456,0.532835,-0.316651,-0.754262,-0.216584,-8.94778,6.44541,0.217669
1403636649863555584,0.545169,-0.320216,-0.739694,-0.230444,-8.87954,6.87557,0.538133
1403636650863555584,0.488347,-0.439713,-0.68674,-0.310737,-8.63566,7.17779,0.552284
1403636652213555456,0.470415,-0.499158,-0.637061,-0.351716,-8.13884,7.21645,0.589147
1403636652713555456,0.392138,-0.590742,-0.588952,-0.387798,-7.79686,7.17992,0.497531
1403636654563555584,0.391894,-0.598565,-0.550236,-0.430558,-6.98354,7.26278,0.583869
1403636655663555584,0.355203,-0.65636,-0.478767,-0.46239,-6.56589,6.99793,0.566573
1403636655963555584,0.327655,-0.690523,-0.446627,-0.465129,-6.43934,6.84943,0.490922
1403636656513555456,0.296644,-0.710307,-0.423432,-0.477673,-6.19822,6.6383,0.486876
1403636657413555456,0.322893,-0.694238,-0.421976,-0.485499,-5.81124,6.33032,0.49657
1403636658113555456,0.311259,-0.71325,-0.416372,-0.470135,-5.38587,5.85567,0.392792
1403636658463555584,0.288652,-0.709191,-0.427014,-0.481028,-5.13813,5.68418,0.401084
1403636658963555584,0.282554,-0.696004,-0.429511,-0.50126,-4.7672,5.49164,0.322013
1403636659663555584,0.287778,-0.698847,-0.425584,-0.49767,-4.42456,5.23355,0.154577
1403636660463555584,0.26227,-0.721896,-0.433415,-0.471414,-4.24076,5.03147,-0.109899
1403636661613555456,0.290383,-0.696378,-0.419326,-0.504878,-4.24977,5.218,-0.52614
1403636663113555456,0.302552,-0.726987,-0.404618,-0.465012,-4.73703,5.13223,-0.601076
1403636664713555456,0.30773,-0.683925,-0.4346,-0.49867,-4.94346,5.8096,-0.891542
1403636664913555456,0.304917,-0.681625,-0.443733,-0.495494,-5.05661,5.93492,-0.917522
1403636664963555584,0.304179,-0.68274,-0.445684,-0.492653,-5.07899,5.96578,-0.922618
1403636665163555584,0.301334,-0.690208,-0.451969,-0.478053,-5.16879,6.06954,-0.914967
1403636665563555584,0.301566,-0.685424,-0.452365,-0.484374,-5.3928,6.34237,-0.879674
1403636665713555456,0.29381,-0.684149,-0.455269,-0.488207,-5.46038,6.4161,-0.853826
1403636665863555584,0.302254,-0.683031,-0.446641,-0.492568,-5.54811,6.50969,-0.828065
1403636666913555456,0.308446,-0.703409,-0.44779,-0.457778,-6.12722,6.95693,-0.760425
1403636667063555584,0.317316,-0.709413,-0.442345,-0.447632,-6.19306,7.00925,-0.756521
1403636667263555584,0.313392,-0.684921,-0.447489,-0.482102,-6.2394,7.08601,-0.770879
1403636667463555584,0.308892,-0.679898,-0.452312,-0.487585,-6.31437,7.14359,-0.792202
1403636667963555584,0.314143,-0.697035,-0.447743,-0.463663,-6.49349,7.33232,-0.812105
1403636669163555584,0.298551,-0.685055,-0.438009,-0.499715,-6.84442,7.9071,-1.00851
1403636669763555584,0.314811,-0.670375,-0.428069,-0.517927,-7.28041,8.28931,-1.10985
1403636670213555456,0.367685,-0.69734,-0.401522,-0.466159,-7.49266,8.25037,-1.08203
1403636670913555456,0.45339,-0.650072,-0.461112,-0.399025,-7.47839,7.85261,-0.975178
1403636671313555456,0.479432,-0.57615,-0.554121,-0.362141,-7.08967,7.41146,-0.833503
1403636671663555584,0.421049,-0.533708,-0.647845,-0.343761,-6.57512,6.97168,-0.705914
1403636672113555456,0.376506,-0.530607,-0.682544,-0.332916,-5.97963,6.58553,-0.581452
1403636672463555584,0.374512,-0.505385,-0.680455,-0.375909,-5.66772,6.50151,-0.432868
1403636672663555584,0.424105,-0.501611,-0.648671,-0.38438,-5.55886,6.49128,-0.415758
1403636675513555456,0.469898,-0.408031,-0.722311,-0.301618,-6.19531,7.23124,-0.77888
1403636676013555456,0.528213,-0.366903,-0.728411,-0.2362,-6.57005,7.53714,-0.855148
1403636676763555584,0.541254,-0.230671,-0.791864,-0.163663,-7.14501,7.84134,-1.02839
1403636677713555456,0.585208,-0.162688,-0.785274,-0.120042,-7.88755,8.03974,-1.12138
1403636678463555584,0.572166,-0.0397837,-0.818865,-0.0224332,-8.1602,8.05063,-1.06582
1403636679313555456,0.576642,0.128863,-0.802281,0.0849884,-8.41036,8.03972,-1.04177
1403636680213555456,0.58016,0.22472,-0.774204,0.116292,-8.46062,7.92948,-0.854704
1403636681063555584,0.537177,0.189443,-0.810475,0.136683,-8.1586,7.62895,-0.76879
1403636681563555584,0.565329,0.196571,-0.789921,0.133373,-7.94441,7.36642,-0.789676
1403636682063555584,0.56683,0.203835,-0.78634,0.137201,-7.74941,7.07844,-0.780666
1403636682463555584,0.549062,0.202257,-0.798777,0.139918,-7.55184,6.86753,-0.741504
1403636683063555584,0.573944,0.201011,-0.783772,0.126035,-7.24406,6.53875,-0.722861
1403636683763555584,0.558091,0.201232,-0.792527,0.141212,-6.83936,6.18463,-0.774141
1403636684363555584,0.563315,0.207809,-0.78538,0.150568,-6.43605,5.86058,-0.735901
1403636684913555456,0.567838,0.207657,-0.780825,0.157322,-6.10755,5.65486,-0.742603
1403636685413555456,0.561037,0.214331,-0.788534,0.132337,-5.74605,5.48267,-0.743634
1403636685763555584,0.561978,0.208525,-0.789186,0.133731,-5.52155,5.37639,-0.751887
1403636686163555584,0.556703,0.204332,-0.792719,0.141164,-5.27361,5.25478,-0.804443
1403636686663555584,0.54925,0.20368,-0.797892,0.142152,-4.99651,5.09636,-0.799085
1403636687363555584,0.55975,0.203679,-0.789301,0.148993,-4.63249,4.86783,-0.78051
1403636687763555584,0.562801,0.203075,-0.786207,0.154576,-4.454,4.76779,-0.825102
1403636688263555584,0.563715,0.212037,-0.785128,0.144361,-4.21826,4.67124,-0.970681
1403636688663555584,0.561692,0.219587,-0.786179,0.13493,-4.03722,4.6012,-1.06391
1403636689013555456,0.55254,0.228622,-0.787807,0.147619,-3.85666,4.50394,-1.1545
1403636689613555456,0.534327,0.242868,-0.791176,0.171904,-3.54471,4.27393,-1.11712
1403636690713555456,0.529,0.216119,-0.797107,0.19512,-3.57872,3.93353,-0.928823
1403636691313555456,0.585523,0.212911,-0.754395,0.206687,-3.87218,3.98682,-0.978041
1403636691713555456,0.55581,0.244194,-0.77441,0.178138,-3.99839,4.2439,-0.878764
1403636691963555584,0.556986,0.244493,-0.773005,0.180149,-4.05968,4.42838,-0.811388
1403636692313555456,0.558455,0.246289,-0.772808,0.173886,-4.12993,4.67724,-0.731751
1403636692813555456,0.551472,0.2567,-0.779708,0.148456,-4.17596,5.00624,-0.486876
1403636693263555584,0.543215,0.25356,-0.785226,0.155063,-4.17608,5.19699,-0.322034
1403636695113555456,0.545562,0.235746,-0.783172,0.182832,-4.55771,5.36163,-0.22517
1403636698213555456,0.564183,0.153332,-0.805383,0.097699,-4.54297,5.18482,-0.14514
1403636698863555584,0.569307,0.0326059,-0.821263,0.0188284,-4.3345,4.91489,-0.267987
1403636699563555584,0.560716,-0.156009,-0.810193,-0.069607,-4.17695,4.65538,-0.318846
1403636701013555456,0.544213,-0.268174,-0.775512,-0.174631,-3.93234,4.76115,-0.642672
1403636702713555456,0.505239,-0.348055,-0.752119,-0.240641,-3.71407,5.22278,-0.801
1403636704263555584,0.520974,-0.342369,-0.748605,-0.225743,-3.79685,5.80249,-1.06115
1403636705163555584,0.497307,-0.332724,-0.768629,-0.226251,-3.95446,6.24515,-1.15825
1403636705613555456,0.505976,-0.32877,-0.763497,-0.230154,-4.18653,6.53085,-1.21314
1403636706013555456,0.530755,-0.335481,-0.746994,-0.218522,-4.43836,6.7791,-1.27333
1403636706713555456,0.515582,-0.317752,-0.760504,-0.234184,-4.8074,7.19802,-1.34568
1403636707313555456,0.510332,-0.329336,-0.756773,-0.241646,-5.24856,7.58934,-1.30769
1403636707963555584,0.515987,-0.342562,-0.752338,-0.224492,-5.85659,8.01309,-1.19516
1403636708263555584,0.525071,-0.332432,-0.74997,-0.226571,-6.0811,8.17052,-1.25836
1403636708963555584,0.533636,-0.322293,-0.740684,-0.250494,-6.48556,8.55618,-1.38599
1403636709513555456,0.519423,-0.330839,-0.744714,-0.257188,-6.77779,8.75198,-1.38853
1403636710413555456,0.533817,-0.327122,-0.745726,-0.227869,-7.45442,8.89108,-1.46957
1403636711213555456,0.553429,-0.223107,-0.781369,-0.182764,-7.9959,8.89,-1.64298
1403636712813555456,0.588312,-0.177559,-0.77631,-0.140376,-8.3575,8.21774,-1.35836
1403636713613555456,0.573569,-0.186084,-0.788724,-0.119607,-8.13069,7.65501,-1.11811
1403636714163555584,0.565928,-0.194475,-0.791041,-0.127118,-7.87161,7.34342,-0.983786
1403636714563555584,0.554998,-0.19832,-0.799191,-0.118068,-7.65729,7.16057,-0.976732
1403636715063555584,0.554219,-0.103257,-0.822925,-0.070525,-7.44191,6.99765,-0.934823
1403636716313555456,0.57992,-0.0895287,-0.807897,-0.0545837,-7.10485,6.77443,-0.789793
1403636717063555584,0.578352,-0.0300994,-0.815045,-0.0174406,-6.79409,6.72002,-0.83115
1403636717813555456,0.578185,0.0323123,-0.815264,-0.00139542,-6.45772,6.60846,-0.824449
1403636718463555584,0.568979,0.101574,-0.81266,0.0743589,-6.1306,6.33291,-0.837653
1403636718813555456,0.56148,0.125853,-0.810002,0.11313,-5.98506,6.17815,-0.914989
1403636719513555456,0.583001,0.138213,-0.793385,0.107461,-5.70854,5.92865,-0.999686
1403636720313555456,0.565732,0.124359,-0.808981,0.10016,-5.31072,5.71011,-1.05684
1403636720913555456,0.565591,0.115306,-0.81117,0.0938879,-5.09312,5.63289,-1.09457
1403636721963555584,0.580194,0.0313897,-0.813527,0.0237415,-4.77154,5.65889,-1.13041
1403636723263555584,0.577349,0.0215625,-0.816024,0.0175553,-4.32785,5.64207,-1.11533
1403636724163555584,0.564877,-0.0387344,-0.823955,-0.0226323,-3.99596,5.55351,-1.09429
1403636724813555456,0.571457,-0.10322,-0.810798,-0.0734048,-3.76853,5.48991,-1.09509
1403636727163555584,0.580557,-0.0805726,-0.80808,-0.0588826,-3.50521,5.38226,-0.712308
1403636728863555584,0.582018,-0.0537338,-0.810365,-0.0409388,-3.15649,5.15852,-0.44056
1403636729763555584,0.582551,-0.0201254,-0.812341,-0.0181962,-2.75091,4.90119,-0.352205
1403636730813555456,0.555854,-0.0213932,-0.830907,-0.0127726,-2.28327,4.55697,-0.296466
1403636733513555456,0.578083,-0.0131494,-0.815756,-0.013729,-1.80826,4.33396,-0.341153
1403636734613555456,0.571005,-0.0130943,-0.820823,-0.00561687,-1.32209,4.00023,-0.187251
1403636736263555584,0.57823,-0.000573788,-0.815856,0.00525834,-0.721642,3.4533,0.0114125
1403636737763555584,0.565649,0.034459,-0.822762,0.043779,-0.462254,3.03456,0.0720895
1403636739163555584,0.572918,-0.10569,-0.811869,-0.0382651,-0.45702,2.9593,0.223076
1403636741713555456,0.541967,-0.226808,-0.79634,-0.143781,-0.352332,3.33737,-0.475017
1403636744563555584,0.563077,-0.264354,-0.766577,-0.159438,-0.810533,3.86602,-1.33869
1403636745663555584,0.561969,-0.239117,-0.773744,-0.168327,-0.952488,4.15819,-1.86431
1403636749713555456,0.545241,-0.276706,-0.763272,-0.208715,-1.60979,4.11131,-1.10229
1403636751813555456,0.544192,-0.266544,-0.78123,-0.149965,-1.47979,3.81774,-0.317172
1403636753063555584,0.5685,-0.0916789,-0.813698,-0.0793633,-1.50518,3.85724,0.117788
1403636754263555584,0.590769,-0.00516352,-0.806669,-0.0158222,-1.47503,3.62183,0.0976977
1403636755263555584,0.581657,0.0633775,-0.810287,0.0330527,-1.20228,3.21717,0.143055
1403636756213555456,0.580745,0.0582297,-0.811271,0.0344204,-0.873548,2.67995,0.207322
1403636757113555456,0.584989,0.0623491,-0.807485,0.0432343,-0.521626,2.17999,0.253813
1403636757663555584,0.563751,0.0802315,-0.820972,0.0418687,-0.227256,1.87338,0.259304
1403636757813555456,0.550797,0.0887962,-0.828438,0.0492807,-0.149437,1.78256,0.275463
1403636758113555456,0.568407,0.0939998,-0.814799,0.0646525,0.0319377,1.5025,0.365394
1403636758413555456,0.573094,0.091412,-0.81104,0.0736268,0.142042,1.28122,0.402143
1403636758763555584,0.550216,0.0796965,-0.826675,0.0867123,0.205719,1.09817,0.374888
1403636759063555584,0.577145,0.0856249,-0.808434,0.0775043,0.215427,0.980401,0.338647
1403636759363555584,0.576318,0.0668136,-0.807509,0.106407,0.238833,0.870618,0.28262
1403636759763555584,0.580733,0.0941335,-0.805277,0.0736022,0.266377,0.834094,0.185062
1403636760063555584,0.564829,0.0941107,-0.816595,0.0726899,0.31738,0.836129,0.169577
1403636760313555456,0.573362,0.0915809,-0.810715,0.0748984,0.338221,0.83108,0.142839
1403636760613555456,0.571313,0.0973989,-0.812113,0.067732,0.364066,0.834715,0.0990273
1403636760913555456,0.573367,0.104609,-0.810331,0.0605871,0.401535,0.827718,0.0562912
1403636761113555456,0.560356,0.101949,-0.819326,0.0656643,0.432935,0.81117,0.0219451
1403636761363555584,0.545496,0.102333,-0.829192,0.0663523,0.450854,0.777128,-0.0104737
1403636761613555456,0.573046,0.0994284,-0.810548,0.0688771,0.441356,0.729146,-0.0184623
1403636761813555456,0.575052,0.0851193,-0.809004,0.0870703,0.430011,0.697977,-0.0117171
1403636762313555456,0.560661,0.107696,-0.819568,0.0486818,0.422251,0.655825,0.0230237
1403636762513555456,0.552646,0.0894814,-0.825285,0.0740269,0.419244,0.623741,0.00856837
