time, q_w, q_x, q_y, q_z, p_x, p_y, p_z
1403638162395097088,0.468526,0.418948,-0.708399,0.321149,-2.83825,-10.1606,2.01996
1403638163545096960,0.513568,0.36346,-0.726804,0.275501,-3.96756,-10.4356,2.32348
1403638164245096960,0.512162,0.342123,-0.736778,0.278927,-4.71955,-10.4328,2.56911
1403638164845096960,0.526295,0.338634,-0.732046,0.269164,-5.45472,-10.2583,2.78165
1403638165395097088,0.519386,0.308398,-0.755005,0.25514,-6.03764,-9.93382,2.80636
1403638165845096960,0.555445,0.304865,-0.734593,0.242716,-6.42695,-9.5817,2.70549
1403638166245096960,0.52887,0.323305,-0.751849,0.224708,-6.75989,-9.21936,2.67812
1403638166745096960,0.523086,0.329639,-0.751644,0.229675,-7.07881,-8.85338,2.89237
1403638167145096960,0.484682,0.33005,-0.776243,0.231511,-7.37318,-8.57686,2.95789
1403638167595097088,0.503152,0.326873,-0.765196,0.233383,-7.84537,-8.33843,3.09085
1403638167995097088,0.516057,0.273893,-0.776784,0.235105,-8.34164,-8.15013,3.15045
1403638168395097088,0.536016,0.229692,-0.788679,0.194713,-8.91152,-7.9,3.23918
1403638168945096960,0.529314,0.227989,-0.806267,0.133341,-9.69241,-7.58246,3.34704
1403638169395097088,0.55135,0.195487,-0.791057,0.17896,-10.3373,-7.46202,3.29973
1403638169795097088,0.573492,0.139288,-0.796416,0.132017,-10.9303,-7.24653,3.26271
1403638170645096960,0.598716,-0.0429321,-0.799587,0.0188936,-11.9234,-6.67764,3.3206
1403638171395097088,0.603712,-0.148517,-0.781408,-0.0536291,-12.253,-5.95442,3.3519
1403638172145096960,0.615275,-0.198413,-0.758247,-0.08444,-12.0183,-4.99466,3.3192
1403638172595097088,0.618418,-0.197775,-0.755642,-0.0863096,-11.5224,-4.32504,3.23963
1403638172995097088,0.618191,-0.196012,-0.758188,-0.0676017,-10.88,-3.70241,3.03743
1403638173245096960,0.605019,-0.191048,-0.77047,-0.0618823,-10.3963,-3.29304,2.87134
1403638173345096960,0.599892,-0.185254,-0.775329,-0.0683807,-10.1857,-3.10986,2.79303
1403638173645096960,0.591314,-0.165743,-0.782946,-0.0993675,-9.52541,-2.56903,2.51216
1403638173845096960,0.58945,-0.167495,-0.783891,-0.100046,-9.068,-2.21504,2.30142
1403638174045096960,0.587535,-0.167679,-0.785086,-0.101619,-8.60551,-1.87723,2.11075
1403638174295097088,0.576394,-0.168498,-0.793313,-0.100168,-8.023,-1.46676,1.89011
1403638174595097088,0.562274,-0.166063,-0.803896,-0.100106,-7.35492,-1.00655,1.60644
1403638174845096960,0.547784,-0.163613,-0.814015,-0.102674,-6.82047,-0.632468,1.41085
1403638175245096960,0.545402,-0.162723,-0.814781,-0.110409,-6.10095,-0.0487038,1.18396
1403638175545096960,0.517925,-0.16121,-0.831848,-0.117452,-5.6553,0.369985,1.09258
1403638176045096960,0.49889,-0.151488,-0.844281,-0.123895,-5.29396,1.0004,1.01549
1403638176545096960,0.557793,-0.144048,-0.806312,-0.134078,-5.25918,1.55074,0.950802
1403638178095097088,0.581328,-0.184023,-0.784753,-0.111155,-5.54663,2.39052,0.815354
1403638178845096960,0.544816,-0.321122,-0.751151,-0.189283,-5.52437,2.72904,0.812599
1403638179745096960,0.500469,-0.422856,-0.702373,-0.278202,-5.32142,3.31499,0.594656
1403638180095097088,0.470114,-0.477198,-0.6769,-0.305091,-5.23857,3.61201,0.546445
1403638180695097088,0.452441,-0.484512,-0.678035,-0.317512,-5.09454,4.13211,0.453396
1403638181295097088,0.473069,-0.480788,-0.67291,-0.303712,-4.98483,4.73208,0.416831
1403638181595097088,0.489815,-0.511781,-0.625101,-0.327733,-4.90668,5.10205,0.350388
1403638182145096960,0.414619,-0.579834,-0.588966,-0.380792,-4.60096,5.76614,0.321396
1403638182495097088,0.400467,-0.597529,-0.586179,-0.372799,-4.39373,6.09848,0.364231
1403638183095097088,0.408469,-0.575391,-0.59287,-0.388051,-4.06422,6.69071,0.508745
1403638183745096960,0.396551,-0.56967,-0.604199,-0.391365,-3.75358,7.4917,0.515668
1403638184345096960,0.392901,-0.571998,-0.604089,-0.391822,-3.60199,8.25204,0.594226
1403638184795097088,0.402398,-0.567748,-0.596552,-0.39983,-3.55581,8.83922,0.628294
1403638185095097088,0.401254,-0.567513,-0.596317,-0.40166,-3.55642,9.25568,0.649664
1403638185445096960,0.398227,-0.556292,-0.602628,-0.410847,-3.59743,9.71992,0.685325
1403638186145096960,0.437502,-0.538029,-0.623932,-0.360315,-3.8168,10.5461,0.740346
1403638186345096960,0.430509,-0.532836,-0.629832,-0.366141,-3.87085,10.7637,0.739532
1403638186995097088,0.424442,-0.503026,-0.653879,-0.37317,-4.10342,11.4496,0.787428
1403638187245096960,0.471579,-0.461358,-0.671375,-0.337665,-4.26271,11.7143,0.761135
1403638187595097088,0.505704,-0.408285,-0.695989,-0.30523,-4.44235,12.0095,0.852843
1403638187795097088,0.498272,-0.401987,-0.70817,-0.297703,-4.53092,12.1544,0.894064
1403638188145096960,0.496625,-0.38598,-0.706592,-0.324208,-4.70625,12.3125,0.93312
1403638188495097088,0.540931,-0.38774,-0.67066,-0.327516,-4.93688,12.4754,0.929561
1403638188895097088,0.536806,-0.381625,-0.687438,-0.305992,-5.16026,12.5265,0.935713
1403638189195097088,0.538687,-0.366684,-0.704067,-0.28222,-5.25292,12.372,1.0083
1403638189595097088,0.521536,-0.332901,-0.750916,-0.230871,-5.3139,12.1004,1.07217
1403638189795097088,0.511808,-0.332503,-0.762822,-0.213534,-5.35968,11.9895,1.11524
1403638189845096960,0.508439,-0.332989,-0.765525,-0.211139,-5.37142,11.9616,1.12395
1403638190595097088,0.536835,-0.281164,-0.755776,-0.24811,-5.54551,11.6212,1.10105
1403638190945096960,0.543507,-0.284348,-0.758655,-0.219519,-5.64711,11.3703,1.07059
1403638191445096960,0.526116,-0.291415,-0.771475,-0.20762,-5.76922,10.9751,1.14596
1403638191545096960,0.524969,-0.292772,-0.771747,-0.207601,-5.80639,10.9133,1.16207
1403638191995097088,0.518694,-0.286581,-0.774821,-0.220184,-5.97512,10.5684,1.17014
1403638192195097088,0.521459,-0.286954,-0.77297,-0.219671,-6.10089,10.4505,1.18324
1403638192495097088,0.538821,-0.28697,-0.761612,-0.217409,-6.2788,10.1895,1.26527
1403638192845096960,0.567106,-0.284267,-0.740611,-0.221536,-6.47862,9.87835,1.39116
1403638193295097088,0.581874,-0.273774,-0.740141,-0.196628,-6.5842,9.40768,1.52084
1403638193745096960,0.562219,-0.258593,-0.761642,-0.192201,-6.43515,8.89571,1.72037
1403638194145096960,0.554797,-0.261566,-0.766545,-0.190245,-6.24749,8.41338,1.80509
1403638194545096960,0.548734,-0.266778,-0.76967,-0.187962,-6.06364,7.90801,1.82398
1403638195045096960,0.523136,-0.272865,-0.785835,-0.185302,-5.80599,7.35984,1.8776
1403638196145096960,0.519405,-0.274328,-0.788963,-0.180279,-5.70328,6.60858,1.76413
1403638197395097088,0.539985,-0.260297,-0.774452,-0.202204,-6.06802,6.28541,1.80448
1403638199195097088,0.543231,-0.23004,-0.771565,-0.238054,-6.76114,5.37184,1.68611
1403638199695097088,0.541966,-0.221124,-0.776313,-0.233911,-7.04806,4.60556,1.80082
1403638199995097088,0.547952,-0.22572,-0.782678,-0.190298,-7.21603,4.04715,1.91352
1403638200195097088,0.553966,-0.200175,-0.786735,-0.184663,-7.35929,3.69232,1.96019
1403638200595097088,0.571362,-0.134646,-0.79224,-0.166649,-7.55331,2.94615,2.10899
1403638200945096960,0.566491,-0.103368,-0.804776,-0.144007,-7.73213,2.14027,2.27356
1403638201295097088,0.573406,-0.118469,-0.802162,-0.117072,-7.87103,1.28844,2.36839
1403638201745096960,0.577287,-0.123672,-0.797565,-0.123839,-8.06331,0.196315,2.34916
1403638202095097088,0.576963,-0.11828,-0.800738,-0.109276,-8.20321,-0.709509,2.26832
1403638202345096960,0.568024,-0.117921,-0.810013,-0.0855741,-8.28303,-1.38821,2.24394
1403638202845096960,0.564749,-0.116644,-0.813073,-0.0797816,-8.43465,-2.54651,2.15721
1403638203295097088,0.575027,-0.115376,-0.805592,-0.0839821,-8.57486,-3.4299,2.06698
1403638203745096960,0.575343,-0.119597,-0.805416,-0.0773422,-8.6787,-4.26412,2.01404
1403638203945096960,0.575132,-0.117249,-0.805784,-0.0786692,-8.66924,-4.62901,2.01744
1403638204095097088,0.572146,-0.116967,-0.808192,-0.0761171,-8.69268,-4.89882,2.03773
1403638204395097088,0.557857,-0.13487,-0.817374,-0.0500513,-8.67196,-5.4696,2.11037
1403638204995097088,0.56612,-0.0587489,-0.821088,-0.0432697,-8.6693,-6.22502,2.18084
1403638205345096960,0.57234,0.0735399,-0.815832,0.0379103,-8.67926,-6.6043,2.16441
1403638205645096960,0.583196,0.178517,-0.788675,0.077495,-8.68282,-6.96113,2.22316
1403638205895097088,0.585415,0.223542,-0.773364,0.0960533,-8.63312,-7.28477,2.314
1403638206295097088,0.568471,0.288938,-0.752256,0.165729,-8.43264,-7.77739,2.50821
1403638206595097088,0.561292,0.300093,-0.742542,0.208631,-8.21768,-8.16043,2.61091
1403638206945096960,0.55626,0.316635,-0.732993,0.2303,-7.92647,-8.55653,2.65252
1403638207345096960,0.558177,0.328129,-0.719905,0.250012,-7.51393,-8.9411,2.61092
1403638207795097088,0.518841,0.38382,-0.707321,0.288416,-6.98317,-9.23816,2.5441
1403638208595097088,0.499408,0.400222,-0.710294,0.293081,-6.09167,-9.47821,2.54054
1403638209145096960,0.489106,0.429207,-0.69005,0.316839,-5.55202,-9.53263,2.5408
1403638209895097088,0.494307,0.427839,-0.686139,0.319104,-4.79795,-9.42837,2.17676
1403638210395097088,0.510658,0.420618,-0.67469,0.327264,-4.36322,-9.23497,1.70591
1403638210895097088,0.507675,0.417114,-0.677647,0.330267,-3.93493,-8.86031,1.24693
1403638211295097088,0.492617,0.421494,-0.688432,0.325166,-3.59836,-8.4529,0.984185
1403638211745096960,0.50924,0.365979,-0.720137,0.296878,-3.27998,-7.93062,0.708964
1403638212245096960,0.54084,0.258872,-0.767834,0.22563,-3.01924,-7.27242,0.425814
1403638212695097088,0.562825,0.16583,-0.794436,0.156844,-2.81312,-6.56956,0.321278
1403638213045096960,0.571964,0.0823078,-0.81027,0.0976993,-2.67758,-5.97224,0.338616
1403638213245096960,0.565055,0.0253496,-0.821786,0.0688325,-2.62266,-5.67472,0.378101
1403638213545096960,0.547304,-0.0670215,-0.833347,0.0387094,-2.55163,-5.13821,0.386423
1403638213745096960,0.570467,-0.0809683,-0.817284,-0.00762883,-2.52951,-4.7451,0.380699
1403638214145096960,0.56463,-0.0785972,-0.820888,-0.0340246,-2.46896,-3.95736,0.434913
1403638214495097088,0.54979,-0.0660192,-0.832207,-0.0283478,-2.45823,-3.29381,0.486112
1403638215045096960,0.584143,-0.0491143,-0.80982,-0.0236066,-2.50899,-2.26829,0.433126
1403638215595097088,0.579882,-0.038527,-0.812936,-0.0372607,-2.52829,-1.31833,0.292584
1403638216245096960,0.583063,-0.0592837,-0.809188,-0.0416765,-2.49446,-0.431413,0.200492
1403638217145096960,0.581427,-0.0948135,-0.805119,-0.068828,-2.34114,0.556386,0.0863044
1403638217795097088,0.564636,-0.11188,-0.810274,-0.110112,-2.11333,1.04602,0.015078
1403638220745096960,0.566319,-0.144399,-0.803971,-0.109826,-1.04915,1.02575,0.0855589
1403638222445096960,0.547566,-0.154946,-0.815476,-0.105649,-0.28902,0.802334,0.0299564
1403638223545096960,0.562927,-0.170683,-0.804444,-0.0827686,-0.0305042,0.706121,-0.0867396
1403638224095097088,0.554447,-0.149615,-0.810657,-0.114191,0.0562576,0.708976,-0.167748
1403638224295097088,0.546123,-0.151612,-0.816368,-0.110938,0.0814381,0.703846,-0.194825
1403638224695097088,0.560193,-0.1547,-0.806722,-0.107009,0.0858077,0.679601,-0.247749
1403638225745096960,0.586423,-0.146371,-0.788685,-0.112516,0.0403742,0.668577,-0.256027
1403638225845096960,0.570923,-0.147877,-0.799953,-0.110703,0.0462066,0.657362,-0.30521
1403638225895097088,0.562533,-0.148555,-0.80586,-0.109898,0.0482001,0.653359,-0.330826
1403638225995097088,0.550784,-0.151849,-0.813963,-0.105087,0.052248,0.644832,-0.370436
1403638226045096960,0.542185,-0.150121,-0.820275,-0.103192,0.0499415,0.63936,-0.379263
1403638226095097088,0.547404,-0.161997,-0.816607,-0.0852009,0.0443935,0.636036,-0.379259
1403638226145096960,0.546432,-0.16393,-0.817384,-0.0801414,0.0366571,0.634197,-0.379393
1403638226195097088,0.540033,-0.159513,-0.821995,-0.0851167,0.0313565,0.632098,-0.381652
1403638226295097088,0.550465,-0.15778,-0.813884,-0.0984222,0.027621,0.626316,-0.384049
1403638226345096960,0.543912,-0.148962,-0.819261,-0.103832,0.0272359,0.623761,-0.383095
1403638226395097088,0.544488,-0.146999,-0.819218,-0.103956,0.0265287,0.624129,-0.380244
